Rnk,Player,Team,Gms,CLUTCH,SH,DF,FT,TO,REB,AST,STL,BLK
5,Cody Martin,CHA,7,0.17,0.13,0.04,0.01,0.00,0.05,0.04,0.00,0.01
6,Mason Plumlee,CHA,43,0.10,0.61,0.42,-0.16,-0.77,1.82,1.22,0.22,0.17
7,Mark Williams,CHA,13,0.05,0.05,0.04,0.02,-0.06,0.10,0.07,0.05,0.01
8,James Bouknight,CHA,24,0.01,0.08,0.00,0.00,-0.08,0.09,0.22,0.03,0.02
9,Bryce McGowens,CHA,17,-0.02,-0.01,0.00,0.00,-0.01,0.01,0.02,0.02,0.00
10,Kai Jones,CHA,24,-0.02,0.04,0.02,-0.00,-0.07,0.06,0.07,0.03,0.02
11,Kelly Oubre Jr.,CHA,33,-0.03,0.28,0.27,-0.03,-0.55,0.55,0.35,0.45,0.04
12,JT Thor,CHA,28,-0.03,0.07,0.01,0.00,-0.12,0.14,0.00,0.01,0.02
13,Theo Maledon,CHA,34,-0.07,0.05,0.04,0.02,-0.18,0.17,0.42,0.17,0.04
14,Gordon Hayward,CHA,20,-0.10,0.02,0.09,0.02,-0.22,0.45,1.30,0.07,0.00
15,LaMelo Ball,CHA,18,-0.17,0.23,0.04,0.01,-0.45,0.19,1.23,0.11,0.01
16,Terry Rozier,CHA,34,-0.26,0.02,0.26,0.05,-0.59,0.34,1.67,0.09,0.02
1,DeMar DeRozan,CHI,41,3.14,1.10,1.87,0.97,-0.80,0.97,2.63,0.35,0.11
2,Derrick Jones Jr.,CHI,33,1.09,0.49,0.82,-0.19,-0.03,0.19,0.29,0.15,0.11
3,Coby White,CHI,36,0.95,1.03,0.12,0.02,-0.21,0.23,0.37,0.31,0.02
4,Ayo Dosunmu,CHI,39,0.56,0.78,0.10,0.05,-0.37,0.45,0.65,0.26,0.10
5,Nikola Vucevic,CHI,44,0.50,0.73,0.16,-0.00,-0.39,1.25,0.86,0.17,0.36
6,Zach LaVine,CHI,40,0.41,0.70,0.41,0.12,-0.82,0.35,1.01,0.24,0.00
7,Andre Drummond,CHI,34,0.30,0.47,0.10,-0.04,-0.23,0.46,0.11,0.20,0.02
8,Javonte Green,CHI,26,0.20,0.45,0.11,-0.03,-0.32,0.24,0.12,0.24,0.02
9,Alex Caruso,CHI,38,0.07,0.32,0.03,-0.02,-0.26,0.28,1.67,0.45,0.13
10,Dalen Terry,CHI,16,0.00,0.01,0.00,0.00,-0.01,0.01,0.05,0.03,0.00
11,Lonzo Ball,CHI,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12,Tony Bradley,CHI,9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
13,Kostas Antetokounmpo,CHI,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
14,Marko Simonovic,CHI,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
15,Malcolm Hill,CHI,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
16,Carlik Jones,CHI,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
17,Goran Dragic,CHI,41,-0.15,0.12,0.09,-0.03,-0.33,0.22,1.22,0.05,0.01
18,Patrick Williams,CHI,43,-0.30,-0.02,0.16,0.02,-0.46,0.45,0.29,0.28,0.14
1,Donovan Mitchell,CLE,38,1.66,1.85,0.55,0.11,-0.84,0.72,2.01,0.58,0.14
2,Evan Mobley,CLE,36,1.57,1.51,0.45,0.19,-0.58,0.96,0.97,0.27,0.16
3,Caris LeVert,CLE,38,0.49,0.53,0.33,0.10,-0.47,0.49,1.03,0.40,0.05
4,Jarrett Allen,CLE,36,0.38,0.66,0.44,-0.22,-0.51,1.34,0.44,0.05,0.22
5,Dean Wade,CLE,16,0.26,0.22,0.07,0.01,-0.04,0.23,0.26,0.03,0.01
6,Isaac Okoro,CLE,43,0.16,0.16,0.07,0.02,-0.08,0.21,0.18,0.09,0.08
7,Kevin Love,CLE,35,0.14,0.21,0.23,-0.02,-0.27,0.47,0.21,0.03,0.03
8,Raul Neto,CLE,27,0.12,0.08,0.04,0.03,-0.03,0.03,0.11,0.05,0.00
9,Lamar Stevens,CLE,27,0.07,0.11,0.05,-0.04,-0.05,0.22,0.13,0.07,0.03
10,Darius Garland,CLE,34,0.07,0.37,0.33,0.09,-0.73,0.26,2.17,0.33,0.00
11,Ricky Rubio,CLE,2,0.04,0.04,0.00,-0.00,0.00,0.01,0.03,0.00,0.00
12,Dylan Windler,CLE,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
13,Isaiah Mobley,CLE,8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
14,Robin Lopez,CLE,25,-0.02,0.01,0.02,-0.01,-0.04,0.06,0.02,0.02,0.01
15,Mamadi Diakite,CLE,13,-0.03,-0.02,0.00,0.00,-0.02,0.00,0.00,0.00,0.00
16,Cedi Osman,CLE,40,-0.05,0.07,0.10,0.00,-0.21,0.20,0.34,0.07,0.03
1,Luka Doncic,DAL,38,1.40,1.41,1.11,-0.11,-1.01,1.17,4.07,0.88,0.15
2,Spencer Dinwiddie,DAL,42,1.18,1.35,0.34,-0.00,-0.51,0.26,1.98,0.12,0.14
3,Christian Wood,DAL,40,0.73,0.88,0.48,-0.17,-0.45,0.82,0.50,0.29,0.69
4,Josh Green,DAL,25,0.60,0.68,0.11,-0.00,-0.18,0.14,0.10,0.17,0.00
5,Dwight Powell,DAL,39,0.39,0.38,0.22,-0.08,-0.14,0.45,0.47,0.39,0.08
6,Davis Bertans,DAL,25,0.29,0.33,0.01,-0.00,-0.06,0.03,0.02,0.04,0.02
7,Maxi Kleber,DAL,22,0.28,0.42,0.04,0.03,-0.20,0.20,0.41,0.02,0.09
8,Tim Hardaway Jr.,DAL,40,0.16,0.31,0.42,-0.17,-0.40,0.43,0.92,0.18,0.02
9,Dorian Finney-Smith,DAL,30,0.12,0.51,0.11,-0.12,-0.37,0.47,0.21,0.22,0.12
