"GameId","Date","HomeTeamId","AwayTeamId","HomePoints","AwayPoints","HomePossessions","AwayPossessions","HomeTeamAbbreviation","AwayTeamAbbreviation"
"0022100029","2021-10-23","1610612761","1610612742",95,103,91,93,"TOR","DAL"
"0022100031","2021-10-23","1610612750","1610612740",96,89,105,104,"MIN","NOP"
"0022100033","2021-10-23","1610612757","1610612756",134,105,102,101,"POR","PHX"
"0022100035","2021-10-24","1610612751","1610612766",95,111,100,100,"BKN","CHA"
"0022100037","2021-10-24","1610612745","1610612738",97,107,99,98,"HOU","BOS"
"0022100039","2021-10-24","1610612758","1610612744",107,119,99,100,"SAC","GSW"
"0022100041","2021-10-25","1610612766","1610612738",129,140,113,113,"CHA","BOS"
"0022100044","2021-10-25","1610612751","1610612764",104,90,103,104,"BKN","WAS"
"0022100046","2021-10-25","1610612761","1610612741",108,111,97,97,"TOR","CHI"
"0022100048","2021-10-25","1610612743","1610612739",87,99,98,97,"DEN","CLE"
"0022100049","2021-10-25","1610612746","1610612757",116,86,115,114,"LAC","POR"
"0022100052","2021-10-26","1610612742","1610612745",116,106,103,104,"DAL","HOU"
"0022100054","2021-10-26","1610612762","1610612743",122,110,101,100,"UTA","DEN"
"0022100055","2021-10-27","1610612753","1610612766",111,120,100,101,"ORL","CHA"
"0022100058","2021-10-27","1610612761","1610612754",118,100,96,96,"TOR","IND"
"0022100059","2021-10-27","1610612740","1610612737",99,102,93,93,"NOP","ATL"
"0022100061","2021-10-27","1610612760","1610612747",123,115,104,104,"OKC","LAL"
"0022100063","2021-10-27","1610612757","1610612763",116,96,99,98,"POR","MEM"
"0022100065","2021-10-28","1610612755","1610612765",110,102,98,98,"PHI","DET"
"0022100068","2021-10-28","1610612745","1610612762",91,122,104,102,"HOU","UTA"
"0022100070","2021-10-28","1610612744","1610612763",101,104,108,108,"GSW","MEM"
"0022100072","2021-10-29","1610612751","1610612754",105,98,101,100,"BKN","IND"
"0022100074","2021-10-29","1610612740","1610612758",109,113,101,101,"NOP","SAC"
"0022100076","2021-10-29","1610612757","1610612746",111,92,99,99,"POR","LAC"
"0022100078","2021-10-30","1610612764","1610612738",115,112,117,118,"WAS","BOS"
"0022100080","2021-10-30","1610612740","1610612752",117,123,99,98,"NOP","NYK"
"0022100081","2021-10-30","1610612754","1610612761",94,97,98,97,"IND","TOR"
"0022100083","2021-10-30","1610612741","1610612762",107,99,104,102,"CHI","UTA"
"0022100085","2021-10-30","1610612749","1610612759",93,102,107,106,"MIL","SAS"
"0022100087","2021-10-30","1610612750","1610612743",91,93,96,96,"MIN","DEN"
"0022100089","2021-10-31","1610612742","1610612758",105,99,96,97,"DAL","SAC"
"0022100091","2021-10-31","1610612749","1610612762",95,107,90,92,"MIL","UTA"
"0022100093","2021-10-31","1610612747","1610612745",95,85,103,102,"LAL","HOU"
"0022100095","2021-11-01","1610612754","1610612759",131,118,99,98,"IND","SAS"
"0022100097","2021-11-01","1610612737","1610612764",118,111,96,95,"ATL","WAS"
